time,thrust,p_c,p_u_o,p_t
0,7.882439829,0.185622642,0.299804232,0.31046868
0.0005,8.404838443,0.185683217,0.299712631,0.310054994
0.001,9.0110928,0.185491151,0.299192576,0.310600665
0.0015,9.809233271,0.18493416,0.299049266,0.310675523
0.002,10.6530789,0.184968141,0.298682863,0.310163341
0.0025,11.7107189,0.185315337,0.298561714,0.308926224
0.003,12.91756169,0.18530795,0.298792193,0.308853336
0.0035,14.26340859,0.185083381,0.298603082,0.308289936
0.004,15.78905429,0.184891315,0.298873452,0.307509843
0.0045,17.81707899,0.185197143,0.29855285,0.307259662
0.005,20.0713631,0.184977006,0.298351919,0.307728505
0.0055,22.76419009,0.184999167,0.298300209,0.307691077
0.006,26.2056751,0.184869153,0.297973698,0.30789004
0.0065,31.58452996,0.185333066,0.297613205,0.308195379
0.007,38.57892991,0.185994954,0.297511263,0.308033845
0.0075,47.02078576,0.186482505,0.297421139,0.307608339
0.008,56.24831703,0.187407376,0.297645709,0.307358158
0.0085,66.46171987,0.187924476,0.297354655,0.307072518
0.009,76.96748463,0.188666145,0.297440346,0.306991751
0.0095,88.00924623,0.189028115,0.297421139,0.306946443
0.01,98.80963927,0.188964585,0.297329539,0.306560336
0.0105,109.4672509,0.189332465,0.297531947,0.306355463
0.011,119.5401387,0.189344285,0.297322152,0.306184079
0.0115,129.4981971,0.188932082,0.297338403,0.306418501
0.012,139.4071507,0.188855256,0.29720248,0.306247117
0.0125,149.902339,0.18860557,0.296822781,0.305811762
0.013,162.585709,0.188320427,0.297081331,0.305443385
0.0135,180.0001293,0.188376569,0.296645489,0.305437475
0.014,202.867817,0.188194845,0.296630715,0.305189264
0.0145,231.8161793,0.188485899,0.296579005,0.304487968
0.015,264.1259481,0.188763655,0.296884833,0.304383562
0.0155,298.2023535,0.189206884,0.296652877,0.304271276
0.016,332.0929163,0.189441795,0.296487405,0.30387138
0.0165,367.631509,0.18985252,0.296212603,0.305025759
0.017,403.1017328,0.19001356,0.296144641,0.305191234
0.0175,437.6325456,0.190181987,0.296075202,0.304883924
0.018,467.0081188,0.189822971,0.295544805,0.304749969
0.0185,491.7349866,0.189428498,0.295190222,0.305214873
0.019,510.6187711,0.188830139,0.295018841,0.305520212
0.0195,522.8994824,0.188103245,0.295051344,0.305417776
0.02,528.2484967,0.187620125,0.294773587,0.305313369
0.0205,527.3683891,0.187321685,0.295173971,0.305551731
0.021,521.1573982,0.186526828,0.294939059,0.305090767
0.0215,510.6837404,0.185912218,0.2952375,0.304371742
0.022,497.2347146,0.185068606,0.295107486,0.303225242
0.0225,482.2819514,,,
0.023,467.6075741,,,
0.0235,451.1631607,,,
0.024,431.1926512,,,
0.0245,405.9210988,,,
0.025,379.2851909,,,
0.0255,354.3207319,,,
0.026,333.6468917,,,
0.0265,319.0616584,,,
0.027,311.9800031,,,
0.0275,311.589054,,,
0.028,316.7828219,,,
0.0285,327.6111668,,,
0.029,345.535143,,,
0.0295,372.2424417,,,
0.03,406.0888103,,,
0.0305,446.5707368,,,
0.031,490.4548645,,,
0.0315,534.9679102,,,
0.032,577.5077019,,,
0.0325,618.468966,,,
0.033,654.6614068,,,
0.0335,685.6056868,,,
0.034,708.2845102,,,
0.0345,722.5301656,,,
0.035,727.6279904,,,
0.0355,724.5604566,,,
0.036,715.9418238,,,
0.0365,701.1926563,,,
0.037,677.7428888,,,
0.0375,644.9809789,,,
0.038,603.1800243,,,
0.0385,550.7456327,,,
0.039,493.3214466,,,
0.0395,439.823749,,,
0.04,395.967951,,,
0.0405,357.954103,,,
0.041,330.0342956,,,
0.0415,317.7037241,,,
0.042,323.981573,,,
0.0425,341.9493657,,,
0.043,364.3203403,,,
0.0435,386.8435396,,,
0.044,404.1824142,,,
0.0445,415.4379702,,,
0.045,418.2403384,,,
0.0455,409.4619264,,,
0.046,389.5983141,,,
0.0465,359.2108059,,,
0.047,327.6931339,,,
0.0475,301.1660118,,,
0.048,281.9826886,,,
0.0485,269.1924214,,,
0.049,263.197869,,,
0.0495,264.4262423,,,
0.05,271.4795679,,,
0.0505,282.6380477,,,
0.051,295.0993132,,,
0.0515,306.9055975,,,
0.052,316.1289737,,,
0.0525,320.676448,,,
0.053,321.5082063,,,
0.0535,320.2439488,,,
0.054,318.2831598,,,
0.0545,316.7053875,,,
0.055,316.437578,,,
0.0555,319.2323917,,,
0.056,324.8771674,,,
0.0565,333.7039287,,,
0.057,345.3572329,,,
0.0575,359.0208085,,,
0.058,373.20225,,,
0.0585,386.0540869,,,
0.059,396.3762755,,,
0.0595,404.1669273,,,
0.06,408.9395278,,,
0.0605,409.8732729,,,
0.061,407.4365458,,,
0.0615,403.6898561,,,
0.062,399.8181383,,,
0.0625,395.5671809,,,
0.063,390.8002464,,,
0.0635,385.63783,,,
0.064,382.5695408,,,
0.0645,381.9893497,,,
0.065,383.3510612,,,
0.0655,384.9443203,,,
0.066,386.3218964,,,
0.0665,388.2894846,,,
0.067,391.6425811,,,
0.0675,395.953975,,,
0.068,399.9050159,,,
0.0685,403.6649261,,,
0.069,407.1400289,,,
0.0695,409.7471115,,,
0.07,411.0744497,,,
0.0705,410.8799195,,,
0.071,410.1561916,,,
0.0715,409.3089464,,,
0.072,409.182785,,,
0.0725,409.2605971,,,
0.073,408.9429274,,,
0.0735,407.7965212,,,
0.074,405.5157961,,,
0.0745,402.3447647,,,
0.075,398.3937238,,,
0.0755,393.4968506,,,
0.076,388.5176326,,,
0.0765,382.8668132,,,
0.077,377.0278849,,,
0.0775,370.6997982,,,
0.078,364.9802321,,,
0.0785,360.0992235,,,
0.079,356.1753791,,,
0.0795,353.0130355,,,
0.08,350.774616,,,
0.0805,349.4325464,,,
0.081,349.8257619,,,
0.0815,350.920797,,,
0.082,352.5246325,,,
0.0825,354.9281194,,,
0.083,358.2124693,,,
0.0835,362.7078171,,,
0.084,367.2790882,,,
0.0845,371.4205043,,,
0.085,375.2574711,,,
0.0855,378.6638274,,,
0.086,381.4514642,,,
0.0865,383.3994105,,,
0.087,384.7139059,,,
0.0875,386.8896225,,,
0.088,390.0651866,,,
0.0885,393.5689968,,,
0.089,396.4329348,,,
0.0895,397.4818871,,,
0.09,395.4625501,,,
0.0905,391.493756,,,
0.091,386.2210429,,,
0.0915,378.8832877,,,
0.092,368.8285308,,,
0.0925,356.3011628,,,
0.093,343.7779497,,,
0.0935,332.1590188,,,
0.094,322.1322139,,,
0.0945,314.5689547,,,
0.095,311.2377665,,,
0.0955,313.1173438,,,
0.096,318.7179254,,,
0.0965,326.3707062,,,
0.097,334.1843994,,,
0.0975,341.7079971,,,
0.098,348.5195765,,,
0.0985,354.6346243,,,
0.099,359.1533912,,,
0.0995,361.8643492,,,
0.1,362.8728844,,,
0.1005,362.6859088,,,
0.101,362.3591736,,,
0.1015,362.9590066,,,
0.102,364.4079734,,,
0.1025,366.3121031,,,
0.103,368.711435,,,
0.1035,370.4625846,,,
0.104,371.2425941,,,
0.1045,371.059018,,,
0.105,369.8635071,,,
